Fielding start,Fielding end,Politician,State,Demographic,Sample size,Margin of error,Approve,Disapprove,Net Approval
10/01/2021,12/31/2021,Joe Biden,Wyoming,Registered Voters,731,0.04,0.24,0.73,-0.48
01/01/2022,03/31/2022,Joe Biden,Alabama,Registered Voters,7340,0.01,0.32,0.64,-0.32
01/01/2022,03/31/2022,Joe Biden,Alaska,Registered Voters,611,0.04,0.35,0.58,-0.23
01/01/2022,03/31/2022,Joe Biden,Arizona,Registered Voters,9474,0.01,0.41,0.55,-0.14
01/01/2022,03/31/2022,Joe Biden,Arkansas,Registered Voters,4570,0.01,0.32,0.64,-0.32
01/01/2022,03/31/2022,Joe Biden,California,Registered Voters,37244,0.01,0.57,0.39,0.19
01/01/2022,03/31/2022,Joe Biden,Colorado,Registered Voters,6014,0.01,0.47,0.49,-0.03
01/01/2022,03/31/2022,Joe Biden,Connecticut,Registered Voters,5946,0.01,0.47,0.49,-0.02
01/01/2022,03/31/2022,Joe Biden,Delaware,Registered Voters,2234,0.02,0.5,0.45,0.04
01/01/2022,03/31/2022,Joe Biden,District of Columbia,Registered Voters,742,0.04,0.75,0.21,0.53
01/01/2022,03/31/2022,Joe Biden,Florida,Registered Voters,39900,0,0.43,0.54,-0.11
01/01/2022,03/31/2022,Joe Biden,Georgia,Registered Voters,14781,0.01,0.42,0.54,-0.11
01/01/2022,03/31/2022,Joe Biden,Hawaii,Registered Voters,1481,0.03,0.52,0.43,0.09
01/01/2022,03/31/2022,Joe Biden,Idaho,Registered Voters,1682,0.02,0.27,0.69,-0.41
01/01/2022,03/31/2022,Joe Biden,Illinois,Registered Voters,18573,0.01,0.49,0.47,0.02
01/01/2022,03/31/2022,Joe Biden,Indiana,Registered Voters,10698,0.01,0.34,0.62,-0.28
01/01/2022,03/31/2022,Joe Biden,Iowa,Registered Voters,4226,0.02,0.37,0.6,-0.23
01/01/2022,03/31/2022,Joe Biden,Kansas,Registered Voters,3845,0.02,0.36,0.61,-0.25
01/01/2022,03/31/2022,Joe Biden,Kentucky,Registered Voters,9703,0.01,0.32,0.65,-0.33
01/01/2022,03/31/2022,Joe Biden,Louisiana,Registered Voters,5313,0.01,0.35,0.61,-0.26
01/01/2022,03/31/2022,Joe Biden,Maine,Registered Voters,2660,0.02,0.43,0.55,-0.11
01/01/2022,03/31/2022,Joe Biden,Maryland,Registered Voters,7915,0.01,0.54,0.42,0.12
01/01/2022,03/31/2022,Joe Biden,Massachusetts,Registered Voters,9849,0.01,0.53,0.43,0.1
01/01/2022,03/31/2022,Joe Biden,Michigan,Registered Voters,17849,0.01,0.42,0.55,-0.13
01/01/2022,03/31/2022,Joe Biden,Minnesota,Registered Voters,7802,0.01,0.44,0.53,-0.09
01/01/2022,03/31/2022,Joe Biden,Mississippi,Registered Voters,3691,0.02,0.36,0.6,-0.24
01/01/2022,03/31/2022,Joe Biden,Missouri,Registered Voters,10505,0.01,0.34,0.62,-0.28
01/01/2022,03/31/2022,Joe Biden,Montana,Registered Voters,1209,0.03,0.37,0.59,-0.22
01/01/2022,03/31/2022,Joe Biden,Nebraska,Registered Voters,2501,0.02,0.3,0.67,-0.37
01/01/2022,03/31/2022,Joe Biden,Nevada,Registered Voters,4497,0.01,0.42,0.54,-0.11
01/01/2022,03/31/2022,Joe Biden,New Hampshire,Registered Voters,2294,0.02,0.42,0.55,-0.13
01/01/2022,03/31/2022,Joe Biden,New Jersey,Registered Voters,13995,0.01,0.47,0.48,-0.02
01/01/2022,03/31/2022,Joe Biden,New Mexico,Registered Voters,1888,0.02,0.45,0.51,-0.07
01/01/2022,03/31/2022,Joe Biden,New York,Registered Voters,32704,0.01,0.51,0.45,0.06
01/01/2022,03/31/2022,Joe Biden,North Carolina,Registered Voters,16794,0.01,0.4,0.56,-0.16
01/01/2022,03/31/2022,Joe Biden,North Dakota,Registered Voters,941,0.03,0.25,0.72,-0.47
01/01/2022,03/31/2022,Joe Biden,Ohio,Registered Voters,20892,0.01,0.39,0.58,-0.19
01/01/2022,03/31/2022,Joe Biden,Oklahoma,Registered Voters,5348,0.01,0.29,0.67,-0.39
01/01/2022,03/31/2022,Joe Biden,Oregon,Registered Voters,4822,0.01,0.45,0.51,-0.05
01/01/2022,03/31/2022,Joe Biden,Pennsylvania,Registered Voters,24296,0.01,0.41,0.56,-0.14
01/01/2022,03/31/2022,Joe Biden,Rhode Island,Registered Voters,1840,0.02,0.5,0.46,0.04
01/01/2022,03/31/2022,Joe Biden,South Carolina,Registered Voters,8618,0.01,0.38,0.58,-0.2
01/01/2022,03/31/2022,Joe Biden,South Dakota,Registered Voters,1155,0.03,0.33,0.66,-0.33
01/01/2022,03/31/2022,Joe Biden,Tennessee,Registered Voters,10683,0.01,0.32,0.64,-0.32
01/01/2022,03/31/2022,Joe Biden,Texas,Registered Voters,29171,0.01,0.41,0.55,-0.15
01/01/2022,03/31/2022,Joe Biden,Utah,Registered Voters,2836,0.02,0.37,0.59,-0.23
01/01/2022,03/31/2022,Joe Biden,Vermont,Registered Voters,1028,0.03,0.55,0.42,0.13
01/01/2022,03/31/2022,Joe Biden,Virginia,Registered Voters,12647,0.01,0.46,0.5,-0.04
01/01/2022,03/31/2022,Joe Biden,Washington,Registered Voters,7279,0.01,0.51,0.46,0.05
01/01/2022,03/31/2022,Joe Biden,West Virginia,Registered Voters,3645,0.02,0.24,0.74,-0.5
01/01/2022,03/31/2022,Joe Biden,Wisconsin,Registered Voters,9611,0.01,0.4,0.56,-0.16
01/01/2022,03/31/2022,Joe Biden,Wyoming,Registered Voters,601,0.04,0.25,0.71,-0.47
04/01/2022,06/30/2022,Joe Biden,Alabama,Registered Voters,5925,0.01,0.3,0.66,-0.36
04/01/2022,06/30/2022,Joe Biden,Alaska,Registered Voters,431,0.05,0.37,0.57,-0.2
04/01/2022,06/30/2022,Joe Biden,Arizona,Registered Voters,7242,0.01,0.39,0.58,-0.2
04/01/2022,06/30/2022,Joe Biden,Arkansas,Registered Voters,3579,0.02,0.3,0.66,-0.37
04/01/2022,06/30/2022,Joe Biden,California,Registered Voters,24628,0.01,0.52,0.43,0.09
04/01/2022,06/30/2022,Joe Biden,Colorado,Registered Voters,4492,0.01,0.45,0.51,-0.06
04/01/2022,06/30/2022,Joe Biden,Connecticut,Registered Voters,4579,0.01,0.47,0.49,-0.02
04/01/2022,06/30/2022,Joe Biden,Delaware,Registered Voters,1718,0.02,0.45,0.52,-0.07
04/01/2022,06/30/2022,Joe Biden,District of Columbia,Registered Voters,603,0.04,0.73,0.21,0.53
04/01/2022,06/30/2022,Joe Biden,Florida,Registered Voters,31641,0.01,0.39,0.58,-0.2
04/01/2022,06/30/2022,Joe Biden,Georgia,Registered Voters,11184,0.01,0.42,0.55,-0.13
04/01/2022,06/30/2022,Joe Biden,Hawaii,Registered Voters,1310,0.03,0.51,0.45,0.06
04/01/2022,06/30/2022,Joe Biden,Idaho,Registered Voters,1226,0.03,0.28,0.67,-0.39
04/01/2022,06/30/2022,Joe Biden,Illinois,Registered Voters,14258,0.01,0.47,0.5,-0.03
04/01/2022,06/30/2022,Joe Biden,Indiana,Registered Voters,8332,0.01,0.32,0.64,-0.32
04/01/2022,06/30/2022,Joe Biden,Iowa,Registered Voters,3384,0.02,0.36,0.61,-0.24
04/01/2022,06/30/2022,Joe Biden,Kansas,Registered Voters,2809,0.02,0.33,0.64,-0.31
04/01/2022,06/30/2022,Joe Biden,Kentucky,Registered Voters,7008,0.01,0.3,0.67,-0.37
04/01/2022,06/30/2022,Joe Biden,Louisiana,Registered Voters,4318,0.01,0.34,0.62,-0.28
04/01/2022,06/30/2022,Joe Biden,Maine,Registered Voters,1997,0.02,0.44,0.54,-0.1
04/01/2022,06/30/2022,Joe Biden,Maryland,Registered Voters,6446,0.01,0.51,0.45,0.06
04/01/2022,06/30/2022,Joe Biden,Massachusetts,Registered Voters,7325,0.01,0.51,0.46,0.05
04/01/2022,06/30/2022,Joe Biden,Michigan,Registered Voters,13881,0.01,0.42,0.55,-0.13
04/01/2022,06/30/2022,Joe Biden,Minnesota,Registered Voters,6268,0.01,0.41,0.55,-0.13
04/01/2022,06/30/2022,Joe Biden,Mississippi,Registered Voters,3115,0.02,0.33,0.63,-0.3
04/01/2022,06/30/2022,Joe Biden,Missouri,Registered Voters,8019,0.01,0.33,0.63,-0.3
04/01/2022,06/30/2022,Joe Biden,Montana,Registered Voters,989,0.03,0.34,0.64,-0.29
04/01/2022,06/30/2022,Joe Biden,Nebraska,Registered Voters,1932,0.02,0.31,0.67,-0.36
04/01/2022,06/30/2022,Joe Biden,Nevada,Registered Voters,3554,0.02,0.4,0.57,-0.16
04/01/2022,06/30/2022,Joe Biden,New Hampshire,Registered Voters,1961,0.02,0.41,0.56,-0.15
04/01/2022,06/30/2022,Joe Biden,New Jersey,Registered Voters,10093,0.01,0.45,0.5,-0.05
04/01/2022,06/30/2022,Joe Biden,New Mexico,Registered Voters,1497,0.03,0.47,0.5,-0.04
04/01/2022,06/30/2022,Joe Biden,New York,Registered Voters,23136,0.01,0.49,0.47,0.02
04/01/2022,06/30/2022,Joe Biden,North Carolina,Registered Voters,13122,0.01,0.38,0.58,-0.2
04/01/2022,06/30/2022,Joe Biden,North Dakota,Registered Voters,679,0.04,0.23,0.75,-0.51
04/01/2022,06/30/2022,Joe Biden,Ohio,Registered Voters,16541,0.01,0.37,0.6,-0.23
04/01/2022,06/30/2022,Joe Biden,Oklahoma,Registered Voters,4540,0.01,0.28,0.68,-0.41
04/01/2022,06/30/2022,Joe Biden,Oregon,Registered Voters,3939,0.02,0.47,0.49,-0.02
04/01/2022,06/30/2022,Joe Biden,Pennsylvania,Registered Voters,18759,0.01,0.39,0.58,-0.19
04/01/2022,06/30/2022,Joe Biden,Rhode Island,Registered Voters,1445,0.03,0.44,0.53,-0.1
04/01/2022,06/30/2022,Joe Biden,South Carolina,Registered Voters,6749,0.01,0.37,0.59,-0.22
04/01/2022,06/30/2022,Joe Biden,South Dakota,Registered Voters,943,0.03,0.33,0.66,-0.33
04/01/2022,06/30/2022,Joe Biden,Tennessee,Registered Voters,8541,0.01,0.31,0.66,-0.35
04/01/2022,06/30/2022,Joe Biden,Texas,Registered Voters,23329,0.01,0.37,0.59,-0.22
04/01/2022,06/30/2022,Joe Biden,Utah,Registered Voters,2288,0.02,0.34,0.63,-0.29
04/01/2022,06/30/2022,Joe Biden,Vermont,Registered Voters,823,0.03,0.51,0.43,0.07
04/01/2022,06/30/2022,Joe Biden,Virginia,Registered Voters,10189,0.01,0.43,0.53,-0.1
04/01/2022,06/30/2022,Joe Biden,Washington,Registered Voters,5695,0.01,0.47,0.49,-0.02
04/01/2022,06/30/2022,Joe Biden,West Virginia,Registered Voters,2901,0.02,0.23,0.75,-0.51
04/01/2022,06/30/2022,Joe Biden,Wisconsin,Registered Voters,7426,0.01,0.39,0.58,-0.18
04/01/2022,06/30/2022,Joe Biden,Wyoming,Registered Voters,519,0.04,0.22,0.76,-0.53
07/01/2022,09/30/2022,Joe Biden,Alabama,Registered Voters,5661,0.01,0.3,0.66,-0.36
07/01/2022,09/30/2022,Joe Biden,Alaska,Registered Voters,425,0.05,0.31,0.64,-0.32
07/01/2022,09/30/2022,Joe Biden,Arizona,Registered Voters,6888,0.01,0.4,0.58,-0.18
07/01/2022,09/30/2022,Joe Biden,Arkansas,Registered Voters,3357,0.02,0.28,0.68,-0.4
07/01/2022,09/30/2022,Joe Biden,California,Registered Voters,21798,0.01,0.53,0.44,0.09
07/01/2022,09/30/2022,Joe Biden,Colorado,Registered Voters,3511,0.02,0.45,0.52,-0.07
07/01/2022,09/30/2022,Joe Biden,Connecticut,Registered Voters,4335,0.01,0.47,0.5,-0.04
07/01/2022,09/30/2022,Joe Biden,Delaware,Registered Voters,1675,0.02,0.45,0.52,-0.07
07/01/2022,09/30/2022,Joe Biden,District of Columbia,Registered Voters,587,0.04,0.77,0.21,0.56
07/01/2022,09/30/2022,Joe Biden,Florida,Registered Voters,29921,0.01,0.39,0.58,-0.19
07/01/2022,09/30/2022,Joe Biden,Georgia,Registered Voters,11342,0.01,0.41,0.56,-0.16
07/01/2022,09/30/2022,Joe Biden,Hawaii,Registered Voters,1144,0.03,0.45,0.5,-0.05
07/01/2022,09/30/2022,Joe Biden,Idaho,Registered Voters,1004,0.03,0.31,0.68,-0.37
07/01/2022,09/30/2022,Joe Biden,Illinois,Registered Voters,13018,0.01,0.47,0.5,-0.04
07/01/2022,09/30/2022,Joe Biden,Indiana,Registered Voters,7198,0.01,0.32,0.66,-0.34
07/01/2022,09/30/2022,Joe Biden,Iowa,Registered Voters,2969,0.02,0.34,0.63,-0.29
07/01/2022,09/30/2022,Joe Biden,Kansas,Registered Voters,2501,0.02,0.33,0.65,-0.32
07/01/2022,09/30/2022,Joe Biden,Kentucky,Registered Voters,6611,0.01,0.3,0.67,-0.37
07/01/2022,09/30/2022,Joe Biden,Louisiana,Registered Voters,4447,0.01,0.33,0.63,-0.29
07/01/2022,09/30/2022,Joe Biden,Maine,Registered Voters,1736,0.02,0.44,0.54,-0.1
07/01/2022,09/30/2022,Joe Biden,Maryland,Registered Voters,6072,0.01,0.5,0.47,0.03
07/01/2022,09/30/2022,Joe Biden,Massachusetts,Registered Voters,6768,0.01,0.49,0.47,0.02
07/01/2022,09/30/2022,Joe Biden,Michigan,Registered Voters,12525,0.01,0.42,0.56,-0.14
07/01/2022,09/30/2022,Joe Biden,Minnesota,Registered Voters,5106,0.01,0.44,0.53,-0.09
07/01/2022,09/30/2022,Joe Biden,Mississippi,Registered Voters,3273,0.02,0.34,0.63,-0.29
07/01/2022,09/30/2022,Joe Biden,Missouri,Registered Voters,7388,0.01,0.34,0.63,-0.29
07/01/2022,09/30/2022,Joe Biden,Montana,Registered Voters,692,0.04,0.37,0.6,-0.23
07/01/2022,09/30/2022,Joe Biden,Nebraska,Registered Voters,1681,0.02,0.3,0.68,-0.38
07/01/2022,09/30/2022,Joe Biden,Nevada,Registered Voters,3307,0.02,0.41,0.56,-0.15
07/01/2022,09/30/2022,Joe Biden,New Hampshire,Registered Voters,1792,0.02,0.39,0.6,-0.21
07/01/2022,09/30/2022,Joe Biden,New Jersey,Registered Voters,9821,0.01,0.45,0.51,-0.06
07/01/2022,09/30/2022,Joe Biden,New Mexico,Registered Voters,1184,0.03,0.46,0.51,-0.05
07/01/2022,09/30/2022,Joe Biden,New York,Registered Voters,22314,0.01,0.5,0.47,0.03
07/01/2022,09/30/2022,Joe Biden,North Carolina,Registered Voters,12393,0.01,0.39,0.58,-0.19
07/01/2022,09/30/2022,Joe Biden,North Dakota,Registered Voters,574,0.04,0.23,0.74,-0.51
07/01/2022,09/30/2022,Joe Biden,Ohio,Registered Voters,15426,0.01,0.38,0.6,-0.22
07/01/2022,09/30/2022,Joe Biden,Oklahoma,Registered Voters,3912,0.02,0.26,0.71,-0.44
07/01/2022,09/30/2022,Joe Biden,Oregon,Registered Voters,3234,0.02,0.43,0.54,-0.11
07/01/2022,09/30/2022,Joe Biden,Pennsylvania,Registered Voters,18333,0.01,0.4,0.58,-0.18
07/01/2022,09/30/2022,Joe Biden,Rhode Island,Registered Voters,1361,0.03,0.41,0.56,-0.15
07/01/2022,09/30/2022,Joe Biden,South Carolina,Registered Voters,6616,0.01,0.38,0.59,-0.21
07/01/2022,09/30/2022,Joe Biden,South Dakota,Registered Voters,850,0.03,0.35,0.64,-0.29
07/01/2022,09/30/2022,Joe Biden,Tennessee,Registered Voters,8277,0.01,0.31,0.66,-0.36
07/01/2022,09/30/2022,Joe Biden,Texas,Registered Voters,22581,0.01,0.38,0.59,-0.21
07/01/2022,09/30/2022,Joe Biden,Utah,Registered Voters,1647,0.02,0.27,0.69,-0.42
07/01/2022,09/30/2022,Joe Biden,Vermont,Registered Voters,700,0.04,0.53,0.45,0.08
07/01/2022,09/30/2022,Joe Biden,Virginia,Registered Voters,9774,0.01,0.42,0.55,-0.14
07/01/2022,09/30/2022,Joe Biden,Washington,Registered Voters,4716,0.01,0.48,0.5,-0.02
07/01/2022,09/30/2022,Joe Biden,West Virginia,Registered Voters,2690,0.02,0.22,0.75,-0.54
07/01/2022,09/30/2022,Joe Biden,Wisconsin,Registered Voters,6053,0.01,0.41,0.57,-0.16
07/01/2022,09/30/2022,Joe Biden,Wyoming,Registered Voters,366,0.05,0.22,0.76,-0.54
10/01/2022,12/31/2022,Joe Biden,Alabama,Registered Voters,5248,0.01,0.31,0.65,-0.34
10/01/2022,12/31/2022,Joe Biden,Alaska,Registered Voters,441,0.05,0.4,0.57,-0.18
10/01/2022,12/31/2022,Joe Biden,Arizona,Registered Voters,6943,0.01,0.41,0.57,-0.16
10/01/2022,12/31/2022,Joe Biden,Arkansas,Registered Voters,3019,0.02,0.3,0.67,-0.37
10/01/2022,12/31/2022,Joe Biden,California,Registered Voters,20691,0.01,0.53,0.43,0.1
10/01/2022,12/31/2022,Joe Biden,Colorado,Registered Voters,3957,0.02,0.45,0.52,-0.07
10/01/2022,12/31/2022,Joe Biden,Connecticut,Registered Voters,3729,0.02,0.5,0.48,0.02
10/01/2022,12/31/2022,Joe Biden,Delaware,Registered Voters,1384,0.03,0.48,0.49,-0.01
10/01/2022,12/31/2022,Joe Biden,District of Columbia,Registered Voters,579,0.04,0.74,0.22,0.52
10/01/2022,12/31/2022,Joe Biden,Florida,Registered Voters,25253,0.01,0.41,0.56,-0.15
10/01/2022,12/31/2022,Joe Biden,Georgia,Registered Voters,10999,0.01,0.43,0.55,-0.12
10/01/2022,12/31/2022,Joe Biden,Hawaii,Registered Voters,1046,0.03,0.54,0.43,0.11
10/01/2022,12/31/2022,Joe Biden,Idaho,Registered Voters,974,0.03,0.35,0.63,-0.28
10/01/2022,12/31/2022,Joe Biden,Illinois,Registered Voters,12453,0.01,0.48,0.49,-0.01
10/01/2022,12/31/2022,Joe Biden,Indiana,Registered Voters,7150,0.01,0.33,0.64,-0.3
10/01/2022,12/31/2022,Joe Biden,Iowa,Registered Voters,2942,0.02,0.34,0.64,-0.29
10/01/2022,12/31/2022,Joe Biden,Kansas,Registered Voters,2417,0.02,0.34,0.64,-0.3
10/01/2022,12/31/2022,Joe Biden,Kentucky,Registered Voters,6176,0.01,0.31,0.66,-0.35
10/01/2022,12/31/2022,Joe Biden,Louisiana,Registered Voters,4146,0.02,0.36,0.6,-0.24
10/01/2022,12/31/2022,Joe Biden,Maine,Registered Voters,1555,0.02,0.41,0.57,-0.16
10/01/2022,12/31/2022,Joe Biden,Maryland,Registered Voters,5762,0.01,0.52,0.44,0.08
10/01/2022,12/31/2022,Joe Biden,Massachusetts,Registered Voters,5934,0.01,0.5,0.47,0.03
10/01/2022,12/31/2022,Joe Biden,Michigan,Registered Voters,13169,0.01,0.43,0.54,-0.11
10/01/2022,12/31/2022,Joe Biden,Minnesota,Registered Voters,4949,0.01,0.45,0.52,-0.07
10/01/2022,12/31/2022,Joe Biden,Mississippi,Registered Voters,3192,0.02,0.36,0.6,-0.24
10/01/2022,12/31/2022,Joe Biden,Missouri,Registered Voters,6759,0.01,0.35,0.62,-0.27
10/01/2022,12/31/2022,Joe Biden,Montana,Registered Voters,666,0.04,0.38,0.61,-0.24
10/01/2022,12/31/2022,Joe Biden,Nebraska,Registered Voters,1577,0.02,0.29,0.68,-0.38
10/01/2022,12/31/2022,Joe Biden,Nevada,Registered Voters,3343,0.02,0.43,0.55,-0.13
10/01/2022,12/31/2022,Joe Biden,New Hampshire,Registered Voters,1540,0.02,0.42,0.57,-0.15
10/01/2022,12/31/2022,Joe Biden,New Jersey,Registered Voters,8948,0.01,0.48,0.49,-0.01
10/01/2022,12/31/2022,Joe Biden,New Mexico,Registered Voters,1302,0.03,0.45,0.52,-0.06
10/01/2022,12/31/2022,Joe Biden,New York,Registered Voters,20513,0.01,0.5,0.47,0.04
10/01/2022,12/31/2022,Joe Biden,North Carolina,Registered Voters,11528,0.01,0.4,0.58,-0.18
10/01/2022,12/31/2022,Joe Biden,North Dakota,Registered Voters,645,0.04,0.25,0.72,-0.47
10/01/2022,12/31/2022,Joe Biden,Ohio,Registered Voters,14641,0.01,0.38,0.59,-0.21
10/01/2022,12/31/2022,Joe Biden,Oklahoma,Registered Voters,3970,0.02,0.29,0.68,-0.4
10/01/2022,12/31/2022,Joe Biden,Oregon,Registered Voters,3385,0.02,0.46,0.5,-0.04
10/01/2022,12/31/2022,Joe Biden,Pennsylvania,Registered Voters,17865,0.01,0.42,0.56,-0.15
10/01/2022,12/31/2022,Joe Biden,Rhode Island,Registered Voters,1178,0.03,0.5,0.48,0.02
10/01/2022,12/31/2022,Joe Biden,South Carolina,Registered Voters,5955,0.01,0.38,0.59,-0.21
10/01/2022,12/31/2022,Joe Biden,South Dakota,Registered Voters,779,0.04,0.33,0.64,-0.31
10/01/2022,12/31/2022,Joe Biden,Tennessee,Registered Voters,7293,0.01,0.34,0.64,-0.3
10/01/2022,12/31/2022,Joe Biden,Texas,Registered Voters,21958,0.01,0.39,0.58,-0.19
10/01/2022,12/31/2022,Joe Biden,Utah,Registered Voters,1768,0.02,0.33,0.65,-0.32
10/01/2022,12/31/2022,Joe Biden,Vermont,Registered Voters,699,0.04,0.57,0.42,0.16
10/01/2022,12/31/2022,Joe Biden,Virginia,Registered Voters,8480,0.01,0.43,0.54,-0.11
10/01/2022,12/31/2022,Joe Biden,Washington,Registered Voters,4638,0.01,0.48,0.49,-0.01
10/01/2022,12/31/2022,Joe Biden,West Virginia,Registered Voters,2635,0.02,0.24,0.74,-0.5
10/01/2022,12/31/2022,Joe Biden,Wisconsin,Registered Voters,6197,0.01,0.42,0.56,-0.14
10/01/2022,12/31/2022,Joe Biden,Wyoming,Registered Voters,361,0.05,0.22,0.76,-0.54
