Fielding start,Fielding end,State,Politician,Demographic,Sample size,Margin of error,Approve,Disapprove,Net Approval
07/01/2021,09/30/2021,Wyoming,Mark Gordon,Registered Voters,672,0.04,0.66,0.26,0.4
10/01/2021,12/31/2021,Alabama,Kay Ivey,Registered Voters,8217,0.01,0.61,0.32,0.28
10/01/2021,12/31/2021,Alaska,Michael Dunleavy,Registered Voters,678,0.04,0.5,0.37,0.13
10/01/2021,12/31/2021,Arizona,Doug Ducey,Registered Voters,11099,0.01,0.46,0.46,0
10/01/2021,12/31/2021,Arkansas,Asa Hutchinson,Registered Voters,4920,0.01,0.62,0.3,0.32
10/01/2021,12/31/2021,California,Gavin Newsom,Registered Voters,35796,0.01,0.56,0.38,0.18
10/01/2021,12/31/2021,Colorado,Jared Polis,Registered Voters,6686,0.01,0.57,0.35,0.22
10/01/2021,12/31/2021,Connecticut,Ned Lamont,Registered Voters,6090,0.01,0.62,0.31,0.31
10/01/2021,12/31/2021,Delaware,John Carney,Registered Voters,2343,0.02,0.59,0.33,0.26
10/01/2021,12/31/2021,Florida,Ron DeSantis,Registered Voters,43900,0,0.54,0.41,0.13
10/01/2021,12/31/2021,Georgia,Brian Kemp,Registered Voters,16713,0.01,0.49,0.42,0.07
10/01/2021,12/31/2021,Hawaii,David Ige,Registered Voters,1729,0.02,0.43,0.51,-0.08
10/01/2021,12/31/2021,Idaho,Brad Little,Registered Voters,1775,0.02,0.5,0.41,0.09
10/01/2021,12/31/2021,Illinois,JB Pritzker,Registered Voters,19390,0.01,0.51,0.43,0.08
10/01/2021,12/31/2021,Indiana,Eric Holcomb,Registered Voters,11564,0.01,0.58,0.31,0.27
10/01/2021,12/31/2021,Iowa,Kim Reynolds,Registered Voters,4416,0.01,0.48,0.46,0.02
10/01/2021,12/31/2021,Kansas,Laura Kelly,Registered Voters,4026,0.02,0.54,0.37,0.18
10/01/2021,12/31/2021,Kentucky,Andy Beshear,Registered Voters,9398,0.01,0.56,0.39,0.18
10/01/2021,12/31/2021,Louisiana,John Bel Edwards,Registered Voters,6011,0.01,0.52,0.41,0.11
10/01/2021,12/31/2021,Maine,Janet Mills,Registered Voters,2677,0.02,0.53,0.44,0.1
10/01/2021,12/31/2021,Maryland,Larry Hogan,Registered Voters,8955,0.01,0.71,0.22,0.49
10/01/2021,12/31/2021,Massachusetts,Charlie Baker,Registered Voters,9854,0.01,0.72,0.21,0.51
10/01/2021,12/31/2021,Michigan,Gretchen Whitmer,Registered Voters,18679,0.01,0.5,0.46,0.04
10/01/2021,12/31/2021,Minnesota,Tim Walz,Registered Voters,8118,0.01,0.54,0.41,0.13
10/01/2021,12/31/2021,Mississippi,Tate Reeves,Registered Voters,4041,0.02,0.48,0.4,0.07
10/01/2021,12/31/2021,Missouri,Mike Parson,Registered Voters,11225,0.01,0.52,0.36,0.16
10/01/2021,12/31/2021,Montana,Greg Gianforte,Registered Voters,1373,0.03,0.6,0.33,0.28
10/01/2021,12/31/2021,Nebraska,Pete Ricketts,Registered Voters,3032,0.02,0.56,0.36,0.2
10/01/2021,12/31/2021,Nevada,Steve Sisolak,Registered Voters,5166,0.01,0.52,0.4,0.11
10/01/2021,12/31/2021,New Hampshire,Chris Sununu,Registered Voters,2361,0.02,0.6,0.37,0.22
10/01/2021,12/31/2021,New Jersey,Philip Murphy,Registered Voters,14157,0.01,0.54,0.39,0.15
10/01/2021,12/31/2021,New Mexico,Michelle Lujan Grisham,Registered Voters,2246,0.02,0.5,0.42,0.08
10/01/2021,12/31/2021,New York,Kathy Hochul,Registered Voters,34561,0.01,0.52,0.3,0.22
10/01/2021,12/31/2021,North Carolina,Roy Cooper III,Registered Voters,17722,0.01,0.52,0.38,0.15
10/01/2021,12/31/2021,North Dakota,Doug Burgum,Registered Voters,967,0.03,0.63,0.29,0.34
10/01/2021,12/31/2021,Ohio,Mike DeWine,Registered Voters,22770,0.01,0.6,0.34,0.27
10/01/2021,12/31/2021,Oklahoma,Kevin Stitt,Registered Voters,5862,0.01,0.57,0.34,0.22
10/01/2021,12/31/2021,Oregon,Kate Brown,Registered Voters,5937,0.01,0.43,0.52,-0.09
10/01/2021,12/31/2021,Pennsylvania,Tom Wolf,Registered Voters,25142,0.01,0.47,0.46,0.01
10/01/2021,12/31/2021,Rhode Island,Dan McKee,Registered Voters,2095,0.02,0.48,0.31,0.17
10/01/2021,12/31/2021,South Carolina,Henry McMaster,Registered Voters,9726,0.01,0.54,0.38,0.16
10/01/2021,12/31/2021,South Dakota,Kristi Noem,Registered Voters,1327,0.03,0.59,0.39,0.2
10/01/2021,12/31/2021,Tennessee,Bill Lee,Registered Voters,11857,0.01,0.58,0.32,0.25
10/01/2021,12/31/2021,Texas,Gregory Abbott,Registered Voters,32705,0.01,0.52,0.42,0.1
10/01/2021,12/31/2021,Utah,Spencer Cox,Registered Voters,3087,0.02,0.62,0.24,0.38
10/01/2021,12/31/2021,Vermont,Phil Scott,Registered Voters,937,0.03,0.76,0.22,0.53
10/01/2021,12/31/2021,Virginia,Ralph Northam,Registered Voters,13805,0.01,0.5,0.41,0.09
10/01/2021,12/31/2021,Washington,Jay Inslee,Registered Voters,8362,0.01,0.55,0.4,0.15
10/01/2021,12/31/2021,West Virginia,Jim Justice,Registered Voters,3987,0.02,0.63,0.31,0.32
10/01/2021,12/31/2021,Wisconsin,Tony Evers,Registered Voters,10492,0.01,0.45,0.47,-0.02
10/01/2021,12/31/2021,Wyoming,Mark Gordon,Registered Voters,731,0.04,0.69,0.25,0.44
01/01/2022,03/31/2022,Alabama,Kay Ivey,Registered Voters,7340,0.01,0.62,0.32,0.3
01/01/2022,03/31/2022,Alaska,Michael Dunleavy,Registered Voters,611,0.04,0.5,0.38,0.12
01/01/2022,03/31/2022,Arizona,Doug Ducey,Registered Voters,9474,0.01,0.47,0.45,0.02
01/01/2022,03/31/2022,Arkansas,Asa Hutchinson,Registered Voters,4570,0.01,0.63,0.29,0.34
01/01/2022,03/31/2022,California,Gavin Newsom,Registered Voters,37244,0.01,0.57,0.37,0.2
01/01/2022,03/31/2022,Colorado,Jared Polis,Registered Voters,6014,0.01,0.57,0.35,0.22
01/01/2022,03/31/2022,Connecticut,Ned Lamont,Registered Voters,5946,0.01,0.57,0.35,0.22
01/01/2022,03/31/2022,Delaware,John Carney,Registered Voters,2234,0.02,0.58,0.32,0.26
01/01/2022,03/31/2022,Florida,Ron DeSantis,Registered Voters,39900,0,0.56,0.38,0.18
01/01/2022,03/31/2022,Georgia,Brian Kemp,Registered Voters,14781,0.01,0.5,0.41,0.09
01/01/2022,03/31/2022,Hawaii,David Ige,Registered Voters,1481,0.03,0.41,0.5,-0.09
01/01/2022,03/31/2022,Idaho,Brad Little,Registered Voters,1682,0.02,0.56,0.36,0.2
01/01/2022,03/31/2022,Illinois,JB Pritzker,Registered Voters,18573,0.01,0.51,0.43,0.08
01/01/2022,03/31/2022,Indiana,Eric Holcomb,Registered Voters,10698,0.01,0.56,0.33,0.23
01/01/2022,03/31/2022,Iowa,Kim Reynolds,Registered Voters,4226,0.02,0.5,0.43,0.07
01/01/2022,03/31/2022,Kansas,Laura Kelly,Registered Voters,3845,0.02,0.55,0.35,0.2
01/01/2022,03/31/2022,Kentucky,Andy Beshear,Registered Voters,9703,0.01,0.59,0.36,0.24
01/01/2022,03/31/2022,Louisiana,John Bel Edwards,Registered Voters,5313,0.01,0.51,0.41,0.1
01/01/2022,03/31/2022,Maine,Janet Mills,Registered Voters,2660,0.02,0.53,0.44,0.08
01/01/2022,03/31/2022,Maryland,Larry Hogan,Registered Voters,7915,0.01,0.71,0.22,0.49
01/01/2022,03/31/2022,Massachusetts,Charlie Baker,Registered Voters,9849,0.01,0.74,0.21,0.53
01/01/2022,03/31/2022,Michigan,Gretchen Whitmer,Registered Voters,17849,0.01,0.5,0.46,0.04
01/01/2022,03/31/2022,Minnesota,Tim Walz,Registered Voters,7802,0.01,0.53,0.41,0.11
01/01/2022,03/31/2022,Mississippi,Tate Reeves,Registered Voters,3691,0.02,0.49,0.41,0.08
01/01/2022,03/31/2022,Missouri,Mike Parson,Registered Voters,10505,0.01,0.5,0.36,0.15
01/01/2022,03/31/2022,Montana,Greg Gianforte,Registered Voters,1209,0.03,0.57,0.34,0.23
01/01/2022,03/31/2022,Nebraska,Pete Ricketts,Registered Voters,2501,0.02,0.52,0.39,0.13
01/01/2022,03/31/2022,Nevada,Steve Sisolak,Registered Voters,4497,0.01,0.51,0.41,0.1
01/01/2022,03/31/2022,New Hampshire,Chris Sununu,Registered Voters,2294,0.02,0.63,0.32,0.3
01/01/2022,03/31/2022,New Jersey,Philip Murphy,Registered Voters,13995,0.01,0.53,0.39,0.14
01/01/2022,03/31/2022,New Mexico,Michelle Lujan Grisham,Registered Voters,1888,0.02,0.48,0.45,0.03
01/01/2022,03/31/2022,New York,Kathy Hochul,Registered Voters,32704,0.01,0.52,0.34,0.18
01/01/2022,03/31/2022,North Carolina,Roy Cooper III,Registered Voters,16794,0.01,0.52,0.38,0.14
01/01/2022,03/31/2022,North Dakota,Doug Burgum,Registered Voters,941,0.03,0.6,0.29,0.3
01/01/2022,03/31/2022,Ohio,Mike DeWine,Registered Voters,20892,0.01,0.6,0.33,0.28
01/01/2022,03/31/2022,Oklahoma,Kevin Stitt,Registered Voters,5348,0.01,0.53,0.38,0.15
01/01/2022,03/31/2022,Oregon,Kate Brown,Registered Voters,4822,0.01,0.41,0.54,-0.14
01/01/2022,03/31/2022,Pennsylvania,Tom Wolf,Registered Voters,24296,0.01,0.46,0.46,-0.01
01/01/2022,03/31/2022,Rhode Island,Dan McKee,Registered Voters,1840,0.02,0.42,0.4,0.02
01/01/2022,03/31/2022,South Carolina,Henry McMaster,Registered Voters,8618,0.01,0.54,0.36,0.19
01/01/2022,03/31/2022,South Dakota,Kristi Noem,Registered Voters,1155,0.03,0.58,0.4,0.18
01/01/2022,03/31/2022,Tennessee,Bill Lee,Registered Voters,10683,0.01,0.58,0.32,0.27
01/01/2022,03/31/2022,Texas,Gregory Abbott,Registered Voters,29171,0.01,0.53,0.41,0.12
01/01/2022,03/31/2022,Utah,Spencer Cox,Registered Voters,2836,0.02,0.62,0.24,0.38
01/01/2022,03/31/2022,Vermont,Phil Scott,Registered Voters,1028,0.03,0.72,0.23,0.49
01/01/2022,03/31/2022,Virginia,Glenn Youngkin,Registered Voters,9218,0.01,0.51,0.35,0.16
01/01/2022,03/31/2022,Washington,Jay Inslee,Registered Voters,7279,0.01,0.52,0.43,0.09
01/01/2022,03/31/2022,West Virginia,Jim Justice,Registered Voters,3645,0.02,0.65,0.27,0.38
01/01/2022,03/31/2022,Wisconsin,Tony Evers,Registered Voters,9611,0.01,0.45,0.48,-0.03
01/01/2022,03/31/2022,Wyoming,Mark Gordon,Registered Voters,601,0.04,0.62,0.32,0.3
04/01/2022,06/30/2022,Alabama,Kay Ivey,Registered Voters,5925,0.01,0.57,0.36,0.21
04/01/2022,06/30/2022,Alaska,Michael Dunleavy,Registered Voters,431,0.05,0.52,0.32,0.2
04/01/2022,06/30/2022,Arizona,Doug Ducey,Registered Voters,7242,0.01,0.44,0.47,-0.03
04/01/2022,06/30/2022,Arkansas,Asa Hutchinson,Registered Voters,3579,0.02,0.58,0.31,0.27
04/01/2022,06/30/2022,California,Gavin Newsom,Registered Voters,24628,0.01,0.53,0.4,0.13
04/01/2022,06/30/2022,Colorado,Jared Polis,Registered Voters,4492,0.01,0.57,0.33,0.24
04/01/2022,06/30/2022,Connecticut,Ned Lamont,Registered Voters,4579,0.01,0.58,0.35,0.23
04/01/2022,06/30/2022,Delaware,John Carney,Registered Voters,1718,0.02,0.56,0.34,0.22
04/01/2022,06/30/2022,Florida,Ron DeSantis,Registered Voters,31641,0.01,0.53,0.41,0.12
04/01/2022,06/30/2022,Georgia,Brian Kemp,Registered Voters,11184,0.01,0.52,0.39,0.13
04/01/2022,06/30/2022,Hawaii,David Ige,Registered Voters,1310,0.03,0.44,0.49,-0.05
04/01/2022,06/30/2022,Idaho,Brad Little,Registered Voters,1226,0.03,0.54,0.36,0.18
04/01/2022,06/30/2022,Illinois,JB Pritzker,Registered Voters,14258,0.01,0.51,0.44,0.07
04/01/2022,06/30/2022,Indiana,Eric Holcomb,Registered Voters,8332,0.01,0.54,0.35,0.19
04/01/2022,06/30/2022,Iowa,Kim Reynolds,Registered Voters,3384,0.02,0.47,0.45,0.02
04/01/2022,06/30/2022,Kansas,Laura Kelly,Registered Voters,2809,0.02,0.56,0.34,0.22
04/01/2022,06/30/2022,Kentucky,Andy Beshear,Registered Voters,7008,0.01,0.55,0.39,0.16
04/01/2022,06/30/2022,Louisiana,John Bel Edwards,Registered Voters,4318,0.01,0.5,0.41,0.09
04/01/2022,06/30/2022,Maine,Janet Mills,Registered Voters,1997,0.02,0.53,0.42,0.11
04/01/2022,06/30/2022,Maryland,Larry Hogan,Registered Voters,6446,0.01,0.7,0.22,0.48
04/01/2022,06/30/2022,Massachusetts,Charlie Baker,Registered Voters,7325,0.01,0.73,0.2,0.53
04/01/2022,06/30/2022,Michigan,Gretchen Whitmer,Registered Voters,13881,0.01,0.5,0.45,0.05
04/01/2022,06/30/2022,Minnesota,Tim Walz,Registered Voters,6268,0.01,0.51,0.42,0.09
04/01/2022,06/30/2022,Mississippi,Tate Reeves,Registered Voters,3115,0.02,0.47,0.43,0.04
04/01/2022,06/30/2022,Missouri,Mike Parson,Registered Voters,8019,0.01,0.48,0.36,0.12
04/01/2022,06/30/2022,Montana,Greg Gianforte,Registered Voters,989,0.03,0.55,0.36,0.18
04/01/2022,06/30/2022,Nebraska,Pete Ricketts,Registered Voters,1932,0.02,0.51,0.4,0.11
04/01/2022,06/30/2022,Nevada,Steve Sisolak,Registered Voters,3554,0.02,0.5,0.42,0.08
04/01/2022,06/30/2022,New Hampshire,Chris Sununu,Registered Voters,1961,0.02,0.6,0.34,0.27
04/01/2022,06/30/2022,New Jersey,Philip Murphy,Registered Voters,10093,0.01,0.52,0.39,0.13
04/01/2022,06/30/2022,New Mexico,Michelle Lujan Grisham,Registered Voters,1497,0.03,0.49,0.43,0.06
04/01/2022,06/30/2022,New York,Kathy Hochul,Registered Voters,23136,0.01,0.49,0.38,0.11
04/01/2022,06/30/2022,North Carolina,Roy Cooper III,Registered Voters,13122,0.01,0.51,0.37,0.14
04/01/2022,06/30/2022,North Dakota,Doug Burgum,Registered Voters,679,0.04,0.57,0.35,0.22
04/01/2022,06/30/2022,Ohio,Mike DeWine,Registered Voters,16541,0.01,0.57,0.36,0.2
04/01/2022,06/30/2022,Oklahoma,Kevin Stitt,Registered Voters,4540,0.01,0.48,0.41,0.07
04/01/2022,06/30/2022,Oregon,Kate Brown,Registered Voters,3939,0.02,0.4,0.55,-0.15
04/01/2022,06/30/2022,Pennsylvania,Tom Wolf,Registered Voters,18759,0.01,0.47,0.46,0
04/01/2022,06/30/2022,Rhode Island,Dan McKee,Registered Voters,1445,0.03,0.38,0.43,-0.05
04/01/2022,06/30/2022,South Carolina,Henry McMaster,Registered Voters,6749,0.01,0.53,0.37,0.16
04/01/2022,06/30/2022,South Dakota,Kristi Noem,Registered Voters,943,0.03,0.59,0.39,0.2
04/01/2022,06/30/2022,Tennessee,Bill Lee,Registered Voters,8541,0.01,0.56,0.33,0.24
04/01/2022,06/30/2022,Texas,Gregory Abbott,Registered Voters,23329,0.01,0.5,0.43,0.07
04/01/2022,06/30/2022,Utah,Spencer Cox,Registered Voters,2288,0.02,0.56,0.3,0.26
04/01/2022,06/30/2022,Vermont,Phil Scott,Registered Voters,823,0.03,0.74,0.18,0.55
04/01/2022,06/30/2022,Virginia,Glenn Youngkin,Registered Voters,10189,0.01,0.53,0.35,0.18
04/01/2022,06/30/2022,Washington,Jay Inslee,Registered Voters,5695,0.01,0.51,0.43,0.09
04/01/2022,06/30/2022,West Virginia,Jim Justice,Registered Voters,2901,0.02,0.66,0.28,0.38
04/01/2022,06/30/2022,Wisconsin,Tony Evers,Registered Voters,7426,0.01,0.46,0.47,-0.02
04/01/2022,06/30/2022,Wyoming,Mark Gordon,Registered Voters,519,0.04,0.74,0.17,0.57
