Politician,State,Year,Contest,R,D,Total,Opponent,MedianR,MedianD,DiffR,DiffD,Net,DiffRp,DiffDp,Net (pct),Net (sqrt)
Marco Rubio,Florida,2022,US Senate,4474847,3201522,7676369,Generic D,4519776.5,3090748.5,-44929.5,110773.5,-155703,-0.00585296251391771,0.0144304553363706,-0.0202834178502883,-394.592194550272
Ron DeSantis,Florida,2022,Governor,4614210,3106313,7720523,Generic D,4519776.5,3090748.5,94433.5,15564.5,78869,0.0122314900169328,0.00201599036749194,0.0102154996494408,280.836251221241
Ashley Moody,Florida,2022,Attorney General,4651376,3025959,7677335,Generic D,4519776.5,3090748.5,131599.5,-64789.5,196389,0.0171412996827675,-0.00843906121069355,0.0255803608934611,443.157985373162
Jimmy Patronis,Florida,2022,Chief Financial Officer,4528909,3085711,7614620,Generic D,4519776.5,3090748.5,9132.5,-5037.5,14170,0.00119933759005702,-0.000661556321917574,0.0018608939119746,119.037809119624
Wilton Simpson,Florida,2022,Commissioner of Agriculture,4510644,3095786,7606430,Generic D,4519776.5,3090748.5,-9132.5,5037.5,-14170,-0.00120062894156654,0.000662268633248449,-0.00186289757481499,-119.037809119624
Generic R,Florida,2022,US House,4271296,2905713,7332696.99570815,Generic D,4519776.5,3090748.5,-248480.5,-185035.5,-63445,-0.0338866450018917,-0.0252343033004503,-0.00865234170144144,-251.882909305098
John Thune,South Dakota,2022,US Senate,242316,91007,348020,Collin Duprel,217035,107518,25281,-16511,41792,0.0726423768748923,-0.0474426757082926,0.120085052583185,204.43091742689
Kristi Noem,South Dakota,2022,Governor,217035,123148,350166,Tracey Quint,217035,107518,0,15630,-15630,0,0.0446359726529703,-0.0446359726529703,-125.019998400256
Monae Johnson,South Dakota,2022,Secretary of State,212348,119975,332323,Thomas Cool,217035,107518,-4687,12457,-17144,-0.0141037484615871,0.0374846158707041,-0.0515883643322912,-130.935098426663
Richard Sattgast,South Dakota,2022,State Auditor,206633,105163,329797,Stephanie Marty,217035,107518,-10402,-2355,-8047,-0.0315406143779355,-0.0071407562834107,-0.0243998580945248,-89.7050723203543
Josh Haeder,South Dakota,2022,State Treasurer,219334,107916,327250,John Cunningham,217035,107518,2299,398,1901,0.00702521008403361,0.00121619556913675,0.00580901451489687,43.6004587131833
Brock Greenfield,South Dakota,2022,Commissioner of School and Public Lands,215742,107518,323260,Timothy Azure,217035,107518,-1293,0,-1293,-0.00399987626059519,0,-0.00399987626059519,-35.9583091927304
Chris Nelson,South Dakota,2022,Public Utilities Commissioner,227167,103384,330551,Jeffrey Barth,217035,107518,10132,-4134,14266,0.0306518510002995,-0.012506390844378,0.0431582418446775,119.440361687329
Greg Abbott,Texas,2022,Governor,4437099,3553656,8102908,Beto Oâ€™Rourke,4474900,3383705,-37801,169951,-207752,-0.00466511528947385,0.0209740749864123,-0.0256391902758861,-455.798200961785
Generic R,Texas,2022,US House,4559280,3004053,7756515.82170806,Generic D,4474900,3383705,84380,-379652,464032,0.0108785957431875,-0.0489462032601639,0.0598247990033514,681.198943040871
Dan Patrick,Texas,2022,Lieutenant Governor,4317692,3492544,8032444,Mike Collier,4474900,3383705,-157208,108839,-266047,-0.0195716272656243,0.0135499232861132,-0.0331215505517374,-515.797440862205
Ken Paxton,Texas,2022,Attorney General,4278986,3497267,8010003,Rochelle Garza,4474900,3383705,-195914,113562,-309476,-0.0244586674936327,0.014177522779954,-0.0386361902735867,-556.305671371414
Glenn Hegar,Texas,2022,Comptroller of Public Accounts,4496319,3265069,7973593,Janet Dudding,4474900,3383705,21419,-118636,140055,0.00268624194889305,-0.0148786124398373,0.0175648543887304,374.239228301898
Dawn Buckingham,Texas,2022,Commissioner of the General Land Office,4463452,3350291,7948589,Jay Kleberg,4474900,3383705,-11448,-33414,21966,-0.00144025562272751,-0.00420376497010979,0.00276350934738228,148.20931144837
Sid Miller,Texas,2022,Agriculture Commissioner,4480186,3473603,7953789,Susan Hays,4474900,3383705,5286,89898,-84612,0.000664588914792686,0.0113025376961848,-0.0106379487813921,-290.881419138452
Wayne Christian,Texas,2022,Railroad Commissioner,4401187,3222305,7948551,Luke Warford,4474900,3383705,-73713,-161400,87687,-0.00927376574673799,-0.0203055877731677,0.0110318220264297,296.119908145332
Debra Lehrmann,Texas,2022,Supreme Court,4475136,3330529,7967701,Erin Nowell,4474900,3383705,236,-53176,53412,0.0000296195853734973,-0.00667394521958091,0.0067035648049544,231.110363246653
Rebeca Huddle,Texas,2022,Supreme Court,4530668,3406054,7936722,Amanda Reichek,4474900,3383705,55768,22349,33419,0.00702657847912526,0.00281589804959781,0.00421068042952746,182.808643121708
Evan Young,Texas,2022,Supreme Court,4474900,3458103,7933003,Julia Maldonado,4474900,3383705,0,74398,-74398,0,0.0093782896590358,-0.0093782896590358,-272.759967737203
Scott Walker (Texas),Texas,2022,Court of Criminal Appeals,4513500,3413071,7926571,Dana Huffman,4474900,3383705,38600,29366,9234,0.0048696971237626,0.0037047545527568,0.0011649425710058,96.0937042682818
Jesse McClure,Texas,2022,Court of Criminal Appeals,4526307,3383705,7910012,Robert Johnson,4474900,3383705,51407,0,51407,0.00649897876261123,0,0.00649897876261123,226.73111828772
Generic R,Texas,2022,Texas House,2612097,2308570,5053389.43702844,Generic D,4474900,3383705,-1862803,-1075135,-787668,-0.368624469420546,-0.212755223676609,-0.155869245743937,-887.506619693622
Generic R,Texas,2022,Texas Senate,2948643,2287700,5454389.56714761,Generic D,4474900,3383705,-1526257,-1096005,-430252,-0.27982178045969,-0.200939992735642,-0.078881787724048,-655.93597248512
Generic R,Georgia,2022,US House,2043842,1863870,3907972,Generic D,2029443.5,1799400.5,14398.5,64469.5,-50071,0.00368439180219306,0.0164969196299257,-0.0128125278277326,-223.765502256268
Herschel Walker,Georgia,2022,US Senate,1908442,1946117,3935924,Raphael Warnock,2029443.5,1799400.5,-121001.5,146716.5,-267718,-0.0307428446280975,0.037276253301639,-0.0680190979297365,-517.414727273973
Herschel Walker,Georgia,2022,US Senate,1721244,1820633,3541877,Raphael Warnock,2029443.5,1799400.5,-308199.5,21232.5,-329432,-0.0870158675752998,0.00599470280870849,-0.0930105703840083,-573.961671194166
Brian Kemp,Georgia,2022,Governor,2111572,1813673,3953408,Stacey Abrams,2029443.5,1799400.5,82128.5,14272.5,67856,0.020774101737033,0.00361017633393771,0.0171639254030953,260.491842482639
Burt Jones,Georgia,2022,Lieutenant Governor,2009617,1815524,3910348,Charlie Bailey,2029443.5,1799400.5,-19826.5,16123.5,-35950,-0.00507026484599325,0.00412329030561986,-0.00919355515161311,-189.604852258585
Brad Raffensperger,Georgia,2022,Secretary of State,2081241,1719922,3903430,Bee Nguyen,2029443.5,1799400.5,51797.5,-79478.5,131276,0.0132697396904774,-0.0203611951540056,0.0336309348444829,362.320300286915
Chris Carr,Georgia,2022,Attorney General,2030300,1822552,3912794,Jen Jordan,2029443.5,1799400.5,856.5,23151.5,-22295,0.000218897289251619,0.00591687167788542,-0.0056979743886338,-149.315103053911
Bruce Thompson,Georgia,2022,Labor Commissioner,2028587,1763468,3892768,William Boddie,2029443.5,1799400.5,-856.5,-35932.5,35076,-0.000220023386957558,-0.00923057834425273,0.00901055495729517,187.285877737752
Richard Woods,Georgia,2022,State Superintendant of Schools,2114013,1785128,3899141,Alisha Searcy,2029443.5,1799400.5,84569.5,-14272.5,98842,0.0216892643790004,-0.00366042161594054,0.0253496859949409,314.391475711413
John King,Georgia,2022,Insurance and Fire Safety Commissioner,2105670,1784648,3890318,Janice Robinson,2029443.5,1799400.5,76226.5,-14752.5,90979,0.0195938995218386,-0.00379210645505072,0.0233860059768893,301.627253410563
Generic R,Georgia,2022,Georgia House,1919529,1699549,3619078,Generic D,2029443.5,1799400.5,-109914.5,-99851.5,-10063,-0.030370856886754,-0.0275903144392025,-0.00278054244755156,-100.314505431667
Generic R,Georgia,2022,Georgia Senate,1985311,1607215,3591373.01013025,Generic D,2029443.5,1799400.5,-44132.5,-192185.5,148053,-0.012288475709851,-0.0535130991567567,0.0412246234469058,384.776558537549
Glenn Youngkin,Virginia,2021,Governor,1663158,1599470,3288327,Terry McAuliffe,1660745,1603750,2413,-4280,6693,0.000733807799528453,-0.00130157371818557,0.00203538151771402,81.8107572388864
Winsome Sears,Virginia,2021,Lieutenant Governor,1658332,1608030,3270169,Hala Ayala,1660745,1603750,-2413,4280,-6693,-0.000737882354092403,0.00130880086013903,-0.00204668321423144,-81.8107572388864
Jason Miyares,Virginia,2021,Attorney General,1647100,1620564,3270659,Mark Herring,1660745,1603750,-13645,16814,-30459,-0.00417194210707995,0.00514085999182428,-0.00931280209890423,-174.525069832388
Generic R,Virginia,2021,Virginia House,1666569,1536509,3229784.88372093,Generic D,1660745,1603750,5824,-67241,73065,0.00180321606846161,-0.0208190335953687,0.0226222496638303,270.305382854282
Generic R,New Hampshire,2022,US House,277808,339027,617535.519125683,Generic D,293304,303223,-15496,35804,-51300,-0.0250932934545036,0.0579788512419365,-0.0830721446964401,-226.495033058123
Chris Sununu,New Hampshire,2022,Governor,352982,256774,619135,Tom Sherman,293304,303223,59678,-46449,106127,0.0963893173540504,-0.0750224102982387,0.171411727652289,325.771392236949
Generic R,New Hampshire,2022,Executive Council,301723,303223,604946,Generic D,293304,303223,8419,0,8419,0.0139169446529112,0,0.0139169446529112,91.7551088495894
Generic R,New Hampshire,2022,New Hampshire Senate,293304,299361,592533.333333333,Generic D,293304,303223,0,-3862,3862,0,-0.00651777677767777,0.00651777677767777,62.1449917531574
Don Bolduc,New Hampshire,2022,US Senate,275928,332193,620921.495327103,Maggie Hassan,293304,303223,-17376,28970,-46346,-0.0279842139960806,0.0466564617556661,-0.0746406757517467,-215.281211442151
Donald Trump,United States,2020,Presidency,74223975,81283501,158429631,Joe Biden,72760036,77529619,1463939,3753882,-2289943,0.00924031060831039,0.0236943176368315,-0.0144540070285211,-1513.25576159485
Generic R,United States,2024,House of Representatives,72760036,77529619,152617360.23622,Generic D,72760036,77529619,0,0,0,0,0,0,#DIV/0!
